id,courseId,title,duration,videoDescription,individualTags,thumbnailUrl,videogUrl,status
V046,C046,CORE ERECTION,50分,CORE ERECTIONの講座視聴ページです。,"男性機能改善,ED,勃起不全,体幹,腹圧,胸椎",/thumbnails/C046.png,https://vdg.jp/g19286vj/core,
V047,C047,運動指導者のためのポスティング完全攻略法,1時間2分,運動指導者のためのポスティング完全攻略法の講座視聴ページです。,"マーケティング,ポスティング,チラシ,地域集客",/thumbnails/C047.png,https://vdg.jp/g19286vj/posting,
V048,C048,構造美ボディメイク,9時間20分,構造美ボディメイクの講座視聴ページです。,"ボディメイク,解剖学,バイオメカニクス,生理学",/thumbnails/C048.png,https://vdg.jp/g19286vj/bodymake,
V049,C049,FEMTEC FOR TRAINERS,6時間12分,FEMTEC FOR TRAINERSの講座視聴ページです。,"フェムテック,女性指導,女性ヘルスケア,収益化",/thumbnails/C049.png,https://vdg.jp/g19286vj/femtec,
V050,C050,MOVEMENT DESIGN,9時間25分,MOVEMENT DESIGNの講座視聴ページです。,"パフィーマンスアップ,運動設計,動作分析,セッション設計",/thumbnails/C050.png,https://vdg.jp/g19286vj/movdes,
V051,C051,内臓調整学,5時間30分,内臓調整学の講座視聴ページです。,"内臓調整,内臓,コンディショニング,不調改善",/thumbnails/C051.png,https://vdg.jp/g19286vj/organ,
V052,C052,THE BIOMECHANICS,10時間35分,THE BIOMECHANICSの講座視聴ページです。,"バイオメカニクス,生体力学,動作分析",/thumbnails/C052.png,https://vdg.jp/g19286vj/biomech,
V100,C100,大殿筋の解剖学①,13分36秒,NEXT短編コンテンツの視聴ページです。,大殿筋,,https://vdg.jp/3BYa9UqZaBaT/,
V101,C101,筋膜連結から見た唯一の大殿筋トレーニング,13分45秒,NEXT短編コンテンツの視聴ページです。,"大殿筋,筋膜連結,トレーニング",,https://vdg.jp/H16jpMOVFhcO/,
V102,C102,前脛骨筋の解剖学①,10分27秒,NEXT短編コンテンツの視聴ページです。,"前脛骨筋,足関節",,https://vdg.jp/uSxDK5TvsUEr/,
V103,C103,足圧変化と重心移動,18分5秒,NEXT短編コンテンツの視聴ページです。,"前脛骨筋,足関節,重心,バイオメカニクス",,https://vdg.jp/73qhVmGiGr81/,
V104,C104,大腿四頭筋の解剖学,13分24秒,NEXT短編コンテンツの視聴ページです。,"大腿四頭筋,膝関節",,https://vdg.jp/XlbIdfsKLlzH/,
V105,C105,Q-angleの変化と美脚の関係,12分15秒,NEXT短編コンテンツの視聴ページです。,"大腿四頭筋,Q-angle,美脚,膝関節",,https://vdg.jp/Q9SEravdM-7J/,
V106,C106,多裂筋の解剖学,17分2秒,NEXT短編コンテンツの視聴ページです。,"多裂筋,腰痛",,https://vdg.jp/567RCaUQnh5F/,
V107,C107,エビデンスも交えた多裂筋の実践的トレーニング,12分2秒,NEXT短編コンテンツの視聴ページです。,"多裂筋,腰痛,トレーニング",,https://vdg.jp/LVY_Trmv67qL/,
V108,C108,前鋸筋の解剖学①,12分7秒,NEXT短編コンテンツの視聴ページです。,"前鋸筋,肩甲帯,胸郭",,https://vdg.jp/Ewj4YzWHspGK/,
V109,C109,上肢運動連鎖を加味したトレーニング,12分17秒,NEXT短編コンテンツの視聴ページです。,"前鋸筋,運動連鎖,トレーニング,体幹",,https://vdg.jp/6dHn8lGPHNP8/,
V110,C110,腹横筋の解剖学,12分30秒,NEXT短編コンテンツの視聴ページです。,"腹横筋,体幹,インナーユニット",,https://vdg.jp/s1bzpfjyt-V4/,
V111,C111,腹横筋をユニットとして考えたトレーニング,12分30秒,NEXT短編コンテンツの視聴ページです。,"腹横筋,体幹,トレーニング,ドローイン,コアスタビリティ,仙腸関節,インナーユニット",,https://vdg.jp/HQgT70fNaH26/,
V112,C112,三角筋の解剖学,17分53秒,NEXT短編コンテンツの視聴ページです。,"三角筋,肩甲上腕関節,サイドレイズ",,https://vdg.jp/tFJCUldGco1Y/,
V113,C113,三角筋とインピンジメント症候群,24分34秒,NEXT短編コンテンツの視聴ページです。,"三角筋,インピンジメント,副運動,肩甲上腕関節",,https://vdg.jp/clHG73yRJq8E/,
V114,C114,上腕三頭筋の解剖学①,11分24秒,NEXT短編コンテンツの視聴ページです。,上腕三頭筋,,https://vdg.jp/eNdxNc17w88t/,
V115,C115,反張肘とハンドグラウンディング,12分47秒,NEXT短編コンテンツの視聴ページです。,"上腕三頭筋,反張肘,ハンドグラウンディング",,https://vdg.jp/oj0JoApP11o4/,
V116,C116,小胸筋の解剖学,13分57秒,NEXT短編コンテンツの視聴ページです。,"小胸筋,肩甲骨,肩甲上腕関節",,https://vdg.jp/x3sBqModZDsU/,
V117,C117,小胸筋タイトネスの評価と運動療法,12分56秒,NEXT短編コンテンツの視聴ページです。,"小胸筋,トレーニング,肩甲上腕関節",,https://vdg.jp/62krR7nUJDSD/,
V118,C118,下腿三頭筋の基礎ストレッチとトレーニング,23分4秒,NEXT短編コンテンツの視聴ページです。,"下腿三頭筋,ストレッチ,トレーニング,腓腹筋,ヒラメ筋",,https://vdg.jp/3rU5i_djv58Q/,
V119,C119,初回セッションで見ないとヤバい3つのこと,24分18秒,NEXT短編コンテンツの視聴ページです。,"セッション,トレーニング,プログラムデザイン",,https://vdg.jp/O-Vv28CjSSHU/,
V120,C120,縫工筋の解剖学,11分7秒,NEXT短編コンテンツの視聴ページです。,"縫工筋,鵞足,ニーイン",,https://vdg.jp/BGBlZqFTfU5R/,
V121,C121,股関節屈筋タイトネスの見分け,11分35秒,NEXT短編コンテンツの視聴ページです。,"縫工筋,股関節屈筋,股関節の詰まり,腸腰筋",,https://vdg.jp/8_hJr-VruuBi/,
V122,C122,股関節外旋筋の解剖学,12分36秒,NEXT短編コンテンツの視聴ページです。,"股関節外旋筋,梨状筋,股関節",,https://vdg.jp/Hsjq_qGspA-S/,
V123,C123,梨状筋症候群の病態と評価,12分40秒,NEXT短編コンテンツの視聴ページです。,"梨状筋,股関節外旋筋,深層外旋六筋,股関節,梨状筋症候群,坐骨神経",,https://vdg.jp/sfYHZzRcgC20/,
V124,C124,腰方形筋の解剖学,18分8秒,NEXT短編コンテンツの視聴ページです。,"腰方形筋,腎臓,腰痛",,https://vdg.jp/Id4txckdwAEy/,
V125,C125,腰方形筋と腎臓,20分29秒,NEXT短編コンテンツの視聴ページです。,"腰方形筋,腎臓,腰痛,トレーニング",,https://vdg.jp/t2Ha8q7D5HzB/,
V126,C126,腹直筋の解剖学,12分34秒,NEXT短編コンテンツの視聴ページです。,"腹直筋,腹圧",,https://vdg.jp/0AVTkc7iRP-t/,
V127,C127,上体起こしのメカニズム,13分49秒,NEXT短編コンテンツの視聴ページです。,"腹直筋,上体起こし,トレーニング,バイオメカニクス,脊柱分節運動",,https://vdg.jp/A8Wk46X9L3H2/,
V128,C128,横隔膜の解剖学①,11分29秒,NEXT短編コンテンツの視聴ページです。,"横隔膜,呼吸,体幹",,https://vdg.jp/5cE-70Br989h/,
V129,C129,呼吸機能を取り戻す横隔膜の評価とアプローチ,13分19秒,NEXT短編コンテンツの視聴ページです。,"横隔膜,呼吸,トレーニング,リブフレア,体幹",,https://vdg.jp/bBzuFXBP4JsD/,
V130,C130,胸鎖乳突筋の解剖学①,21分18秒,NEXT短編コンテンツの視聴ページです。,"胸鎖乳突筋,首こり,ストレートネック",,https://vdg.jp/XW626kLLinPn/,
V131,C131,胸鎖乳突筋のセルフリリース,9分9秒,NEXT短編コンテンツの視聴ページです。,"胸鎖乳突筋,首こり,ストレートネック",,https://vdg.jp/vc6sGnKAKct4/,
V132,C132,棘上筋の解剖学①,11分55秒,NEXT短編コンテンツの視聴ページです。,"棘上筋,肩関節,インピンジメント,肩甲骨,ローテーターカフ",,https://vdg.jp/-ZJkjzbvuGAv/,
V133,C133,肩外転の力学的メカニズム,14分14秒,NEXT短編コンテンツの視聴ページです。,"棘上筋,肩甲上腕リズム,バイオメカニクス,肩甲骨,前鋸筋,ローテーターカフ",,https://vdg.jp/a-JVl5Sa6yAu/,
V134,C134,上腕二頭筋の解剖学①,12分53秒,NEXT短編コンテンツの視聴ページです。,上腕二頭筋,,https://vdg.jp/xzUdKCgt2g1w/,
V135,C135,65歳女性 腰部脊柱管狭窄症に対する症例検討,17分48秒,NEXT短編コンテンツの視聴ページです。,"症例検討,脊柱管狭窄症,前十字靭帯",,https://vdg.jp/LzbcA-zvmI0K/,
V136,C136,ブレインアナトミー｜脳の基礎解剖学,17分49秒,NEXT短編コンテンツの視聴ページです。,"脳,眼球運動,バランス機能",,https://vdg.jp/Y1QnbsKdtaWn/,
V137,C137,眼球運動から変わるバランス機能,27分50秒,NEXT短編コンテンツの視聴ページです。,"脳,眼球運動,バランス機能",,https://vdg.jp/v09FXjMCrbsB/,
V138,C138,後脛骨筋の解剖学①,14分33秒,NEXT短編コンテンツの視聴ページです。,"後脛骨筋,足関節,アーチ",,https://vdg.jp/B4WPdZ0uZlZI/,
V139,C139,後脛骨筋から見る背屈制限の検討,10分21秒,NEXT短編コンテンツの視聴ページです。,"後脛骨筋,背屈制限,距腿関節,脛腓関節",,https://vdg.jp/36h5QLhfTday/,
V140,C140,腓骨筋の解剖学①,14分59秒,NEXT短編コンテンツの視聴ページです。,"腓骨筋,足関節",,https://vdg.jp/z-FrGryjIyqg/,
V141,C141,腓骨筋トレーニング｜OKCとCKC,11分19秒,NEXT短編コンテンツの視聴ページです。,"腓骨筋,足関節,OKC,CKC,トレーニング",,https://vdg.jp/9MNj4gY2GTM8/,
V142,C142,腰痛クライアントのための脊柱起立筋エクササイズ,17分27秒,NEXT短編コンテンツの視聴ページです。,"脊柱起立筋,脊柱,トレーニング,腰痛",,https://vdg.jp/7OP8MWMGpDRo/,
V143,C143,脊柱起立筋強化のためのトレーニング法,20分44秒,NEXT短編コンテンツの視聴ページです。,"脊柱起立筋,脊柱,トレーニング,腰痛",,https://vdg.jp/bsDdsJKIFsyj/,
V144,C144,肋間筋の解剖学①,12分44秒,NEXT短編コンテンツの視聴ページです。,"肋間筋,内肋間筋,外肋間筋,呼吸,肋骨,胸椎",,https://vdg.jp/hnWEBfWkOmd2/,
V145,C145,内外肋間筋の作用差の力学的理解,12分23秒,NEXT短編コンテンツの視聴ページです。,"肋間筋,内肋間筋,外肋間筋,バイオメカニクス",,https://vdg.jp/JBpZXh23QzDo/,
V146,C146,内腹斜筋の解剖学,11分34秒,NEXT短編コンテンツの視聴ページです。,"内腹斜筋,腹斜筋,体幹,仙腸関節,IAP（腹腔内圧）",,https://vdg.jp/pJUj7203hZEU/,
V147,C147,内腹斜筋トレーニング,9分4秒,NEXT短編コンテンツの視聴ページです。,"内腹斜筋,腹斜筋,体幹,仙腸関節,IAP（腹腔内圧）",,https://vdg.jp/SWsoMfDGM9yy/,
V148,C148,内転筋群の解剖学,7分29秒,NEXT短編コンテンツの視聴ページです。,"内転筋,股関節,大内転筋,薄筋,長内転筋",,https://vdg.jp/JNp1WTVvK0Di/,
V149,C149,グロインペインの予防トレーニング,9分40秒,NEXT短編コンテンツの視聴ページです。,"内転筋,トレーニング,鼠径部痛症候群,鼠径部痛,グロインペイン,変形性股関節症",,https://vdg.jp/Hb2-xFvEx5f_/,
V150,C150,中臀筋の解剖学①,10分28秒,NEXT短編コンテンツの視聴ページです。,"中臀筋,股関節,歩行,骨盤",,https://vdg.jp/-8eF3ImcQQgk/,
V151,C151,ハイク運動での中臀筋トレーニング,10分5秒,NEXT短編コンテンツの視聴ページです。,"中臀筋,トレーニング,トレンデレンブルグ,デュシェンヌ,ヒップハイク",,https://vdg.jp/48fG6kC8RfhK/,
V152,C152,大腿筋膜張筋の解剖学｜解説編,10分10秒,NEXT短編コンテンツの視聴ページです。,"大腿筋膜張筋,膝関節,股関節",,https://vdg.jp/KbaRx12BMcb0/,
V153,C153,大腿筋膜張筋の解剖学｜実践編,9分15秒,NEXT短編コンテンツの視聴ページです。,"大腿筋膜張筋,トレーニング,膝関節,股関節,中殿筋",,https://vdg.jp/j2RMEVl-quEp/,
V154,C154,広背筋の解剖学,7分53秒,NEXT短編コンテンツの視聴ページです。,"広背筋,肩関節",,https://vdg.jp/4HJ8ckjHaPPM/,
V155,C155,広背筋を鍛えるなら引くな！,12分14秒,NEXT短編コンテンツの視聴ページです。,"広背筋,トレーニング,ラットプルダウン,ロウイング,肩関節",,https://vdg.jp/mtfmQtb-PKRy/,
V156,C156,菱形筋の解剖学①,8分51秒,NEXT短編コンテンツの視聴ページです。,"菱形筋,肩甲骨,肩関節",,https://vdg.jp/psjwCKXtmqmc/,
V157,C157,菱形筋と肩関節痛,8分36秒,NEXT短編コンテンツの視聴ページです。,"菱形筋,肩甲骨,肩関節,肩関節痛",,https://vdg.jp/FdIVBdubVp-R/,
V158,C158,棘下筋の解剖学①,10分25秒,NEXT短編コンテンツの視聴ページです。,"棘下筋,肩関節,回旋筋腱板",,https://vdg.jp/YWCt0TfE3e_l/,
V159,C159,棘下筋トレーニングの実際,12分34秒,NEXT短編コンテンツの視聴ページです。,"棘下筋,肩関節,トレーニング,OKC",,https://vdg.jp/-pTvue0DiTvp/,
V160,C160,肩甲下筋の解剖学①,9分36秒,NEXT短編コンテンツの視聴ページです。,"肩甲下筋,肩痛,腱板損傷",,https://vdg.jp/7g0nZgkEjS34/,
V161,C161,肩甲下筋の検査法とトレーニング法,11分36秒,NEXT短編コンテンツの視聴ページです。,"肩甲下筋,トレーニング,ローテーターカフ",,https://vdg.jp/Tc__NTHEBk8Y/,
V162,C162,僧帽筋の解剖学,13分9秒,NEXT短編コンテンツの視聴ページです。,"僧帽筋,肩関節,肩甲骨",,https://vdg.jp/Vd3oe-h9a1mp/,
V163,C163,僧帽筋下部トレーニングの検討,12分51秒,NEXT短編コンテンツの視聴ページです。,"僧帽筋,肩関節,トレーニング",,https://vdg.jp/5ZkKRLrwtRir/,
V164,C164,小円筋の解剖学,10分30秒,NEXT短編コンテンツの視聴ページです。,"小円筋,肩関節,腱板",,https://vdg.jp/egWMng49tbzH/,
V165,C165,肩後方組織のストレッチの理論と実践,10分10秒,NEXT短編コンテンツの視聴ページです。,"小円筋,棘下筋,ストレッチ",,https://vdg.jp/Kquu4akE--kK/,
V166,C166,骨盤底筋のこと、わかってる？,20分34秒,NEXT短編コンテンツの視聴ページです。,"骨盤底筋,内転筋,インナーユニット",,https://vdg.jp/ljOBFkWYXFHn/,
V167,C167,筋膜連結から考える骨盤底筋群トレーニング,17分35秒,NEXT短編コンテンツの視聴ページです。,"骨盤底筋,筋膜連結,トレーニング,内転筋,インナーユニット",,https://vdg.jp/_G3zKLbzAP1a/,
V168,C168,外腹斜筋の解剖学①,11分42秒,NEXT短編コンテンツの視聴ページです。,"外腹斜筋,姿勢",,https://vdg.jp/vdoXoPBsh8QY/,
V169,C169,ツイストクランチの考察,8分50秒,NEXT短編コンテンツの視聴ページです。,"外腹斜筋,内腹斜筋,トレーニング,ツイストクランチ",,https://vdg.jp/9wL_bPHa-sb3/,
V170,C170,烏口腕筋の解剖学,13分24秒,NEXT短編コンテンツの視聴ページです。,"烏口腕筋,肩関節,筋皮神経",,https://vdg.jp/fso6Kppr0dS4/,
V171,C171,筋皮神経障害の評価と介入,12分6秒,NEXT短編コンテンツの視聴ページです。,"烏口腕筋,肩関節,筋皮神経障害",,https://vdg.jp/ua5u9Hk1AanI/,
V172,C172,大胸筋の解剖学,15分1秒,NEXT短編コンテンツの視聴ページです。,"大胸筋,肩関節,トレーニング,ベンチプレス",,https://vdg.jp/d8KyOn2kbir6/,
V173,C173,大胸筋と呼吸の応用,11分52秒,NEXT短編コンテンツの視聴ページです。,"大胸筋,呼吸,トレーニング,肩関節",,https://vdg.jp/KA9jgt_1ihkH/,
V174,C174,ハムストリングの解剖学①,15分21秒,NEXT短編コンテンツの視聴ページです。,"ハムストリング,膝関節,股関節",,https://vdg.jp/_9KAmMzncv_Y/,
V175,C175,ハムストリングによる膝伸展機能,12分21秒,NEXT短編コンテンツの視聴ページです。,"ハムストリング,膝関節,バイオメカニクス",,https://vdg.jp/ERufJpz1ZKYz/,
V176,C176,大円筋の解剖学,12分16秒,NEXT短編コンテンツの視聴ページです。,"大円筋,肩関節,広背筋,クアドリラテラルスペース",,https://vdg.jp/cl1CPRpvWP_M/,
V177,C177,大円筋の評価とアプローチ,8分55秒,NEXT短編コンテンツの視聴ページです。,"大円筋,肩関節,広背筋,クアドリラテラルスペース",,https://vdg.jp/z4hLJ0zq3CpK/,
V178,C178,腓骨筋の解剖学②,11分16秒,NEXT短編コンテンツの視聴ページです。,"腓骨筋,足関節,捻挫",,https://vdg.jp/KD8wRRiJ8UlR/,
V179,C179,腓骨筋のトレーニング,8分43秒,NEXT短編コンテンツの視聴ページです。,"腓骨筋,足関節,捻挫,トレーニング",,https://vdg.jp/tdg4zU2u7EeE/,
V180,C180,サッカーにおけるスプリント・方向転換時について,25分26秒,NEXT短編コンテンツの視聴ページです。,"サッカー,パフォーマンス,スプリント,方向転換",,https://vdg.jp/PaaCUCSUsJLn/,
V181,C181,ヒラメ筋の解剖学,11分48秒,NEXT短編コンテンツの視聴ページです。,"ヒラメ筋,足関節,膝関節",,https://vdg.jp/1XdWqAk2PQaK/,
